layers,neuron,lambda,alpha,f1_mean,variance,standard_deviation,time_execution
1,2,0.0,0.001,0.783571428571,0.00011270408163265391,0.010616217859136742,292.180787563324
1,16,0.0,0.001,0.789338624339,0.0001547527364855416,0.01243996529277882,371.513484954834
4,2,0.0,0.001,0.782142857143,0.00010331632653061294,0.01016446390768411,589.903430223465
4,16,0.0,0.001,0.782142857143,0.00010331632653061294,0.01016446390768411,663.7187585830688
1,2,0.0,0.01,0.703571428571,0.00021556122448979542,0.014682003422210316,65.2344126701355
1,16,0.0,0.01,0.788018867925,0.0001445434318262731,0.012022621670262818,48.40555191040039
4,2,0.0,0.01,0.782142857143,0.00010331632653061294,0.01016446390768411,133.66642498970032
4,16,0.0,0.01,0.782142857143,0.00010331632653061294,0.01016446390768411,82.77785801887512
1,2,0.1,0.001,0.785052910053,0.00012287065031774068,0.011084703438420926,257.9502384662628
1,16,0.1,0.001,0.788018867925,0.0001445434318262731,0.012022621670262818,338.15657591819763
4,2,0.1,0.001,0.782142857143,0.00010331632653061294,0.01016446390768411,516.7084584236145
4,16,0.1,0.001,0.782142857143,0.00010331632653061294,0.01016446390768411,645.299623966217
1,2,0.1,0.01,0.7846277666,5.7909468885748964e-05,0.007609827125878023,63.764999866485596
1,16,0.1,0.01,0.78791005291,0.00014371721116430183,0.011988211341326188,48.51605200767517
4,2,0.1,0.01,0.703571428571,0.00021556122448979542,0.014682003422210316,137.58881878852844
4,16,0.1,0.01,0.782142857143,0.00010331632653061294,0.01016446390768411,80.60155487060547
