"A","B","C","D","AB","AC","AD","BC","BD","CD","ABC","ABD","ACD","BCD","ABCD","y","sd"
"-1","-1","-1","-1","1","1","1","1","1","1","-1","-1","-1","-1","1","0.84","0.02"
"1","-1","-1","-1","-1","-1","-1","1","1","1","1","1","1","-1","-1","0.79","0.00"
"-1","1","-1","-1","-1","1","1","-1","-1","1","1","1","-1","1","-1","0.96","0.01"
"1","1","-1","-1","1","-1","-1","-1","-1","1","-1","-1","1","1","1","0.96","0.01"
"-1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","1","-1","0.83","0.02"
"1","-1","1","-1","-1","1","-1","-1","1","-1","-1","1","-1","1","1","0.79","0.00"
"-1","1","1","-1","-1","-1","1","1","-1","-1","-1","1","1","-1","1","0.96","0.01"
"1","1","1","-1","1","1","-1","1","-1","-1","1","-1","-1","-1","-1","0.96","0.01"
"-1","-1","-1","1","1","1","-1","1","-1","-1","-1","1","1","1","-1","0.97","0.01"
"1","-1","-1","1","-1","-1","1","1","-1","-1","1","-1","-1","1","1","0.80","0.01"
"-1","1","-1","1","-1","1","-1","-1","1","-1","1","-1","1","-1","1","0.97","0.00"
"1","1","-1","1","1","-1","1","-1","1","-1","-1","1","-1","-1","-1","0.98","0.00"
"-1","-1","1","1","1","-1","-1","-1","-1","1","1","1","-1","-1","1","0.96","0.02"
"1","-1","1","1","-1","1","1","-1","-1","1","-1","-1","1","-1","-1","0.79","0.01"
"-1","1","1","1","-1","-1","-1","1","1","1","-1","-1","-1","1","-1","0.97","0.00"
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.97","0.00"
"-0.03","0.06","-0.00","0.02","0.03","0.00","-0.01","0.00","-0.01","-0.00","-0.00","0.02","-0.00","0.00","-0.00","",""
" 11.18% "," 59.71% "," 0.05% "," 7.37% "," 11.28% "," 0.02% "," 3.59% "," 0.05% "," 2.77% "," 0.00% "," 0.03% "," 3.94% "," 0.00% "," 0.00% "," 0.00% ","",""
