"network","lambda","alpha","mean_f1","f1_sd","mean_time","time_sd"
"1+16",0,0.01,0.8169713115929,0.0226522603023183,480.138816165924,9.24865993581925
"1+16",0,0.1,0.9099287501575,0.0269722145702219,557.414254498482,27.7641613514733
"1+16",0.001,0.01,0.8183796651627,0.0103344407247846,543.622447133064,27.5583888637892
"1+16",0.001,0.1,0.8958096971734,0.041898628312065,524.632713270187,32.0541405252707
"1+16",0.1,0.01,0.8225679829375,0.0144625708136097,530.21599676609,22.7661907138058
"1+16",0.1,0.1,0.8939306565055,0.0339399314478449,572.404089283943,9.07686207399131
"1+2",0,0.01,0.7618325345874,0.0523528711096314,195.785623121262,24.8272932156818
"1+2",0,0.1,0.818104384533,0.0552578445623775,376.907533502579,73.7660922570904
"1+2",0.001,0.01,0.7846264874427,0.00182336951572497,244.960795497894,23.3008701030993
"1+2",0.001,0.1,0.8354748723404,0.036738362306436,333.463967943192,61.7623507332949
"1+2",0.1,0.01,0.7772123403973,0.0261438935245609,245.742812299728,25.0499791770577
"1+2",0.1,0.1,0.8326632827956,0.0215712337428606,401.438594269753,68.2724199008294
"1+4",0.1,0.01,0.762922331361,0.037135091188428,243.585561037064,26.2478526392987
"1+4",0.1,0.1,0.8754261926699,0.0292129977084784,543.107640719414,24.7342559725459
"1+8",0.1,0.01,0.7892339097939,0.0255221750832944,337.068256545067,56.2745164334707
"1+8",0.1,0.1,0.8846826971308,0.0221687008408613,560.272022771835,9.85138303279537
"2+16",0.1,0.01,0.7869993646744,0.0358448742158126,614.079646086693,99.0251081467898
"2+16",0.1,0.1,0.9137515459335,0.0323095381318273,828.569947314262,13.6825862558838
"2+2",0.1,0.01,0.7742857142858,0.0248464673300751,306.426340198517,51.6006995093527
"2+2",0.1,0.1,0.7791381626919,0.0224534412103474,93.9322140932083,49.2682412161801
"2+4",0,0.01,0.7660065477038,0.0335299699077924,266.331870985031,42.2413223656786
"2+4",0,0.1,0.8056866275998,0.0334565400778147,337.804067111015,155.836859563799
"2+4",0.001,0.01,0.7822857142858,0.000451753951271928,253.313806700706,23.1438721205448
"2+4",0.001,0.1,0.825401478988,0.0186200251236727,374.935455393791,130.72203784432
"2+4",0.1,0.01,0.7744285714286,0.0249007098589932,274.077827572823,38.3188316787796
"2+4",0.1,0.1,0.8248468155296,0.0205300898042112,379.71260638237,119.939325915911
"2+8",0,0.01,0.776528588159,0.0247385815063387,259.42388241291,47.1474207904355
"2+8",0,0.1,0.8875986518955,0.0305470095201805,757.384807562828,52.3914945850411
"2+8",0.001,0.01,0.7594798297439,0.0356259383666421,243.019942450523,28.4882596933391
"2+8",0.001,0.1,0.8942116178529,0.0171719324295392,733.926724433899,83.2626199050108
"2+8",0.1,0.01,0.7841962437406,0.00223638203578399,236.795103240013,29.9028234191862
"2+8",0.1,0.1,0.8907028484663,0.0297042147278074,770.320402812958,32.3694317326892
"3+16",0.1,0.01,0.7531976005361,0.0563893567979261,368.121850895882,120.306869897041
"3+16",0.1,0.1,0.9231376256845,0.0138572812762711,1083.33884146214,29.7287412001023
"3+2",0.1,0.01,0.7742857142858,0.0248464673300751,424.455111455917,56.48686263505
"3+2",0.1,0.1,0.7507142857142,0.0405741112462776,72.477588057518,4.07429501380536
"3+4",0,0.01,0.7742857142858,0.0248464673300751,350.237532353401,37.2896133590266
"3+4",0,0.1,0.7861204322865,0.00713553682319599,99.1162758350372,70.0349184470522
"3+4",0.001,0.01,0.7742857142858,0.0248464673300751,359.866505289078,33.5900165058565
"3+4",0.001,0.1,0.7861876750702,0.0115235930035764,99.8363124370575,93.388093044164
"3+4",0.1,0.01,0.7585714285714,0.0379536057641055,330.138993668556,22.2408759117204
"3+4",0.1,0.1,0.7742857142858,0.0248464673300751,58.917005944252,4.79117781246697
"3+8",0,0.01,0.7742857142858,0.0248464673300751,259.487706851959,34.3021122903225
"3+8",0,0.1,0.8331503697377,0.0141939370251403,468.606783103943,90.5411949963022
"3+8",0.001,0.01,0.7742857142858,0.0248464673300751,266.072093033791,39.4193420968315
"3+8",0.001,0.1,0.8384860993503,0.0260007150930501,463.851026415825,205.319523109839
"3+8",0.1,0.01,0.7668624338624,0.0326006827039848,249.978379011154,19.4245276716284
"3+8",0.1,0.1,0.8392354479197,0.0208731274087616,506.039040827751,153.144236436829
"4+16",0,0.01,0.7757338624339,0.0256462055744917,277.593714690208,98.6587634434138
"4+16",0,0.1,0.914281880008,0.0134763366448054,1121.72550714016,87.7161034131078
"4+16",0.001,0.01,0.7833015873017,0.00149599217598576,242.821326255798,63.0073590324784
"4+16",0.001,0.1,0.9116353190905,0.0363962476974462,1106.60092105865,84.3568986806045
