"A","B","C","D","AB","AC","AD","BC","BD","CD","ABC","ABD","ACD","BCD","ABCD","y","sd"
"-1","-1","-1","-1","1","1","1","1","1","1","-1","-1","-1","-1","1","0.76","0.05"
"1","-1","-1","-1","-1","-1","-1","1","1","1","1","1","1","-1","-1","0.77","0.03"
"-1","1","-1","-1","-1","1","1","-1","-1","1","1","1","-1","1","-1","0.82","0.02"
"1","1","-1","-1","1","-1","-1","-1","-1","1","-1","-1","1","1","1","0.78","0.03"
"-1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","1","-1","0.78","0.03"
"1","-1","1","-1","-1","1","-1","-1","1","-1","-1","1","-1","1","1","0.77","0.02"
"-1","1","1","-1","-1","-1","1","1","-1","-1","-1","1","1","-1","1","0.82","0.01"
"1","1","1","-1","1","1","-1","1","-1","-1","1","-1","-1","-1","-1","0.77","0.03"
"-1","-1","-1","1","1","1","-1","1","-1","-1","-1","1","1","1","-1","0.82","0.06"
"1","-1","-1","1","-1","-1","1","1","-1","-1","1","-1","-1","1","1","0.76","0.04"
"-1","1","-1","1","-1","1","-1","-1","1","-1","1","-1","1","-1","1","0.91","0.03"
"1","1","-1","1","1","-1","1","-1","1","-1","-1","1","-1","-1","-1","0.91","0.01"
"-1","-1","1","1","1","-1","-1","-1","-1","1","1","1","-1","-1","1","0.83","0.02"
"1","-1","1","1","-1","1","1","-1","-1","1","-1","-1","1","-1","-1","0.77","0.02"
"-1","1","1","1","-1","-1","-1","1","1","1","-1","-1","-1","1","-1","0.89","0.03"
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.91","0.02"
"-0.01","0.03","0.00","0.03","0.00","-0.00","0.00","-0.00","0.02","-0.00","0.00","0.01","0.00","-0.00","0.00","",""
" 4.23% "," 36.58% "," 0.15% "," 36.69% "," 0.24% "," 0.00% "," 0.00% "," 0.62% "," 14.29% "," 0.01% "," 0.01% "," 6.90% "," 0.17% "," 0.05% "," 0.05% ","",""
