"network","lambda","alpha","mean_f1","f1_sd","mean_time","time_sd"
"1+16",0,0.01,0.7487442409043,0.0216404646952036,883.536400175095,197.477147673165
"1+16",0,0.1,0.8010091362892,0.0100291045538625,1137.37299842834,65.9453444553358
"1+16",0.001,0.01,0.7547061989482,0.0197984874150143,771.604962897301,99.5899023387462
"1+16",0.001,0.1,0.8084252884205,0.00872152259850564,1079.16474664211,82.5610195979073
"1+16",0.1,0.01,0.7544156876211,0.0195432901281593,824.726590394974,103.668848296527
"1+16",0.1,0.1,0.8129781368175,0.0074081695208772,1176.83137218952,42.301909900273
"1+2",0,0.01,0.7779682295941,0.00854649686258487,626.426441597938,72.7187693439982
"1+2",0,0.1,0.7882207399013,0.00422527374209506,327.426647639275,119.005846459586
"1+2",0.001,0.01,0.7819376634539,0.0134389752324526,690.310060548782,72.7811901838797
"1+2",0.001,0.1,0.7907544964754,0.00619412763795931,390.410056710243,107.771266672561
"1+2",0.1,0.01,0.773897308316,0.0144991173821451,681.65282728672,89.1020507024526
"1+2",0.1,0.1,0.7860168808028,0.00638907216356652,377.180999565125,132.702110965594
"1+4",0.1,0.01,0.7745094858233,0.0124929939491776,561.480565047264,26.8147011527883
"1+4",0.1,0.1,0.7928549427181,0.00984851664356393,708.256870627403,143.253337622389
"1+8",0.1,0.01,0.765105662281,0.0110029011561253,487.095481777191,51.6764661019319
"1+8",0.1,0.1,0.8000362160363,0.00995065211983463,1113.25321059227,73.3735150654434
"2+16",0.1,0.01,0.7753380975781,0.0107704495772456,1095.95235693455,176.380483558302
"2+16",0.1,0.1,0.8076251614291,0.0129515975568104,1526.12153151035,107.208033532148
"2+2",0.1,0.01,0.788271198528,0.00135933643013799,937.130626153946,137.108234025801
"2+2",0.1,0.1,0.788997572097,0.000604505352422256,199.030304670334,90.366810342186
"2+4",0,0.01,0.78716821756,0.00343449086232883,797.494313693047,128.801267464947
"2+4",0,0.1,0.7869813066092,0.00494373984257448,550.194015216827,187.837444526007
"2+4",0.001,0.01,0.7865675172832,0.00304660249981858,806.206020855904,128.116953313116
"2+4",0.001,0.1,0.7890388721687,0.00701728383317209,387.379452562332,133.005492049288
"2+4",0.1,0.01,0.7864406335637,0.0031028226139273,826.438375067711,91.5355704489892
"2+4",0.1,0.1,0.7915251431935,0.00649927230038897,652.11910598278,249.587044038818
"2+8",0,0.01,0.7804763811441,0.00599097731505287,558.860587692261,49.1980506759984
"2+8",0,0.1,0.7972482517129,0.00936468858598881,1203.1671939373,156.368007821684
"2+8",0.001,0.01,0.7820181667237,0.00525968004996661,604.95779979229,43.76083900472
"2+8",0.001,0.1,0.7902301461592,0.0152176524842008,1221.07638430595,272.860467093274
"2+8",0.1,0.01,0.7804690399398,0.010603187029458,601.845602154732,67.4023097741289
"2+8",0.1,0.1,0.789981182248,0.0163876250394653,1155.77896811962,238.766285712883
"3+16",0.1,0.01,0.7834100248335,0.011883980237479,1163.80582082272,207.79682343898
"3+16",0.1,0.1,0.8024589119729,0.0119599726385211,1793.92935574055,246.550629056069
"3+2",0.1,0.01,0.788912579957,0,1259.72480142117,212.16252502673
"3+2",0.1,0.1,0.7894543373801,0.00162839591918281,245.993054270744,93.2125974999515
"3+4",0,0.01,0.7886237419899,0.000653211633315516,951.660691165924,116.228282503815
"3+4",0,0.1,0.7891012246842,0.00357753418848612,320.17895784378,228.887081991695
"3+4",0.001,0.01,0.7888160720205,0.000305184891622902,1057.14334311485,136.187112150302
"3+4",0.001,0.1,0.7881918619624,0.0034043323018759,300.130632853508,141.216485790748
"3+4",0.1,0.01,0.7885271056739,0.000911111034226245,926.932097029686,114.306498075555
"3+4",0.1,0.1,0.7882794577731,0.00418267888755334,299.758286905289,147.211475657856
"3+8",0,0.01,0.7879435694484,0.002250171607335,695.587815189362,132.591567434721
"3+8",0,0.1,0.7898182524446,0.0158850972090334,998.005385088921,307.091163152702
"3+8",0.001,0.01,0.7871720154928,0.00354198355972987,697.322091817856,69.8155237378586
"3+8",0.001,0.1,0.7928931779083,0.00905173731137649,1080.84048044682,426.638386495268
"3+8",0.1,0.01,0.7883189754761,0.00251584577461213,684.195896458626,87.5044447204569
"3+8",0.1,0.1,0.7939484732367,0.00370042221757315,1220.79024651051,363.091214059122
"4+16",0,0.01,0.7847600031853,0.0108061076542952,1270.57616786957,256.297735036786
"4+16",0,0.1,0.802246911401,0.0115527676811354,2077.71233637333,132.336788043147
"4+16",0.001,0.01,0.788004096375,0.00624211874583515,1112.14275710583,241.585216921562
"4+16",0.001,0.1,0.8060281679186,0.0109712612683757,2068.65057954788,196.767258764977
"4+16",0.1,0.01,0.7796124109657,0.00942832387080231,1141.17691152096,382.018422220215
"4+16",0.1,0.1,0.8040459590828,0.0148910520481977,2003.63479599953,300.556310915214
"4+2",0,0.01,0.788912579957,0,1521.72113513947,198.3883771484
"4+2",0,0.1,0.788912579957,0,224.904971885681,20.2637228701054
"4+2",0.001,0.01,0.788912579957,0,1473.59576611519,111.205774026807
"4+2",0.001,0.1,0.788912579957,0,233.377330589294,21.2351758950287
"4+2",0.1,0.01,0.788912579957,0,1597.96771335602,221.837937078647
"4+2",0.1,0.1,0.788912579957,0,254.022753024101,25.6610377529634
"4+4",0.1,0.01,0.788912579957,0,1179.01408922672,192.712472952845
"4+4",0.1,0.1,0.7891419473784,0.00454970776943485,266.150813627243,130.345991008337
"4+8",0.1,0.01,0.7890306472597,0.0012797831587629,846.039801073074,110.181812461143
"4+8",0.1,0.1,0.7926215028628,0.00500754238488931,917.954521298409,255.560937961328
