"A","B","C","D","AB","AC","AD","BC","BD","CD","ABC","ABD","ACD","BCD","ABCD","y","sd"
"-1","-1","-1","-1","1","1","1","1","1","1","-1","-1","-1","-1","1","0.78","0.01"
"1","-1","-1","-1","-1","-1","-1","1","1","1","1","1","1","-1","-1","0.79","0.00"
"-1","1","-1","-1","-1","1","1","-1","-1","1","1","1","-1","1","-1","0.75","0.02"
"1","1","-1","-1","1","-1","-1","-1","-1","1","-1","-1","1","1","1","0.78","0.01"
"-1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","1","-1","0.77","0.01"
"1","-1","1","-1","-1","1","-1","-1","1","-1","-1","1","-1","1","1","0.79","0.00"
"-1","1","1","-1","-1","-1","1","1","-1","-1","-1","1","1","-1","1","0.75","0.02"
"1","1","1","-1","1","1","-1","1","-1","-1","1","-1","-1","-1","-1","0.78","0.01"
"-1","-1","-1","1","1","1","-1","1","-1","-1","-1","1","1","1","-1","0.79","0.00"
"1","-1","-1","1","-1","-1","1","1","-1","-1","1","-1","-1","1","1","0.79","0.00"
"-1","1","-1","1","-1","1","-1","-1","1","-1","1","-1","1","-1","1","0.80","0.01"
"1","1","-1","1","1","-1","1","-1","1","-1","-1","1","-1","-1","-1","0.80","0.01"
"-1","-1","1","1","1","-1","-1","-1","-1","1","1","1","-1","-1","1","0.79","0.01"
"1","-1","1","1","-1","1","1","-1","-1","1","-1","-1","1","-1","-1","0.79","0.00"
"-1","1","1","1","-1","-1","-1","1","1","1","-1","-1","-1","1","-1","0.81","0.01"
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.80","0.01"
"0.01","0.00","0.00","0.01","0.00","-0.00","-0.01","0.00","0.01","0.00","-0.00","-0.00","-0.00","0.00","0.00","",""
" 10.22% "," 0.05% "," 0.10% "," 45.44% "," 0.85% "," 0.32% "," 12.35% "," 0.63% "," 25.19% "," 0.34% "," 1.10% "," 3.21% "," 0.00% "," 0.19% "," 0.01% ","",""
