"network","lambda","alpha","mean_f1","f1_sd","mean_time","time_sd"
"1+16",0,0.01,0.765901980933,0.0578182661008993,278.947913241386,4.65459154795438
"1+16",0,0.1,0.9564979728428,0.0138750117186889,283.0319865942,8.91805443330971
"1+16",0.001,0.01,0.7631921379261,0.0475193924978205,281.086895227432,5.48574321320568
"1+16",0.001,0.1,0.9510884871745,0.0162341170308799,256.524754095078,10.4825797644398
"1+16",0.1,0.01,0.753225510547,0.0387971827465201,278.899571847916,3.48259879908666
"1+16",0.1,0.1,0.9650898804791,0.0111991376453187,280.720322346687,7.70697436436078
"1+2",0,0.01,0.4012270015377,0.0562013933907205,230.197348809242,11.7953319000181
"1+2",0,0.1,0.7278108582486,0.0497470686623671,246.496094989777,21.7613408262688
"1+2",0.001,0.01,0.4706994887251,0.0907820281796801,232.39044072628,26.5027500448974
"1+2",0.001,0.1,0.739389190936,0.076919594079664,230.319200634956,20.6145475330577
"1+2",0.1,0.01,0.421734935199,0.0418948080844921,230.893950462341,21.8017477656396
"1+2",0.1,0.1,0.6508048794806,0.0982946764884834,236.947030138969,25.8533983247263
"1+4",0.1,0.01,0.5329716147955,0.0642805388142064,258.753366827965,11.3374071630304
"1+4",0.1,0.1,0.9079500607539,0.042933491614335,270.985900688171,7.85020970441569
"1+8",0.1,0.01,0.6465100421573,0.0594298279771053,278.022699713707,4.37328559951099
"1+8",0.1,0.1,0.9377262207144,0.0113137015608251,272.617700839043,6.83846139464973
"2+16",0.1,0.01,0.7818813998205,0.0546732176904277,412.64859931469,8.94968776015308
"2+16",0.1,0.1,0.9534550137996,0.0129150915697884,404.67441034317,10.8723691383321
"2+2",0.1,0.01,0.336401339202,0.0246989147469936,247.301859760284,20.0216008574665
"2+2",0.1,0.1,0.4754057145306,0.0746657965352423,218.162071990967,50.7899344239329
"2+4",0,0.01,0.4567810428821,0.0686358466122011,265.941528391838,40.2253120632909
"2+4",0,0.1,0.7958311103016,0.0774206088723871,370.334056711197,26.5673395139646
"2+4",0.001,0.01,0.4334593308351,0.0625182276640371,269.196703672409,35.1026346235362
"2+4",0.001,0.1,0.7757512016802,0.0425906223639528,350.406300544739,25.0643361153268
"2+4",0.1,0.01,0.3714498096268,0.057736735285506,260.484402132034,27.2024733323033
"2+4",0.1,0.1,0.7895558339372,0.0582974998965544,368.39318652153,22.5053897107338
"2+8",0,0.01,0.5768875235527,0.0893376111239111,376.976702284813,26.2641917908627
"2+8",0,0.1,0.9430630759026,0.0175032518948382,394.410552835465,9.78247046229064
"2+8",0.001,0.01,0.6018057618664,0.0753066787054493,370.416146445274,24.889525127665
"2+8",0.001,0.1,0.9383472389776,0.0139488317602183,386.224710798264,15.2474102027997
"2+8",0.1,0.01,0.5988088066085,0.0691855174036871,380.934432506561,16.3924101870708
"2+8",0.1,0.1,0.9481239341837,0.0158769232444137,391.554967737198,11.2649209754513
"3+16",0.1,0.01,0.7420435822663,0.0639832999883396,531.36287996769,15.9599700738743
"3+16",0.1,0.1,0.9649962824395,0.013492300535433,513.276203775406,28.5518532098179
"3+2",0.1,0.01,0.2894053987313,0.0152214424387017,325.191621780396,18.0928878993383
"3+2",0.1,0.1,0.3110140726912,0.0218106863863559,93.988072681427,40.2106613340069
"3+4",0,0.01,0.3382788412931,0.060817355034668,258.472859883308,27.4306843120124
"3+4",0,0.1,0.5732857511209,0.0880085644286234,320.292803645134,68.1385307343506
"3+4",0.001,0.01,0.3259033567082,0.0359190886139822,250.778830480576,30.079693435688
"3+4",0.001,0.1,0.5462934385559,0.127332988284929,306.879778385162,108.408973825145
"3+4",0.1,0.01,0.3297722124895,0.0362186386563311,269.003303527832,30.2240454501249
"3+4",0.1,0.1,0.5498293736351,0.0739725593381003,341.860065674782,57.648853553131
"3+8",0,0.01,0.4602801938416,0.0557379144882485,364.254860925674,30.3035724010401
"3+8",0,0.1,0.8945929414477,0.0471906243929341,501.278668880463,31.8625578089276
"3+8",0.001,0.01,0.4786428341507,0.0413285488604141,367.892976617813,43.9263488147524
"3+8",0.001,0.1,0.922282818824,0.0270747987508379,517.908273983002,20.6144420347252
"3+8",0.1,0.01,0.4906142986623,0.105080886394545,388.336936855316,51.2091873447955
"3+8",0.1,0.1,0.8912346327671,0.0385158660135431,499.086609101295,26.2965865324199
"4+16",0,0.01,0.7087999077947,0.0490337103562924,614.124193954468,48.9619542969968
"4+16",0,0.1,0.95021583362,0.0130273155547775,618.081433820724,41.3073848096718
"4+16",0.001,0.01,0.7070008426355,0.0659553297301781,613.212049055099,48.7127324210255
"4+16",0.001,0.1,0.9536564736441,0.0184275281708636,587.840393686295,28.6178921991243
"4+16",0.1,0.01,0.6942217083892,0.0356628406616312,623.288181686401,39.6154700378872
"4+16",0.1,0.1,0.9551751004631,0.0156641476955081,626.599360990524,39.795886157539
"4+2",0,0.01,0.282577032045,0.00886499045259476,358.426884770393,23.6665179438989
"4+2",0,0.1,0.2934990930011,0.00208703073121058,70.9956715345383,22.6915630400228
"4+2",0.001,0.01,0.2829711246978,0.0292571796002172,360.214127874374,41.3011723960976
"4+2",0.001,0.1,0.2936013947914,0.0020261733290235,64.1606464147568,18.9355636301976
"4+2",0.1,0.01,0.2913715503243,0.0174309583672052,357.396060824394,37.4576044801553
"4+2",0.1,0.1,0.292960662526,0,59.9656678199768,5.55919110321223
"4+4",0.1,0.01,0.3185721346075,0.0383755873005929,301.426031732559,32.6030706543441
"4+4",0.1,0.1,0.3604305801441,0.0460233631864082,183.594983553886,70.7794017403829
"4+8",0.1,0.01,0.3817329118661,0.0622513464137374,329.662852740288,62.4180528680671
