"A","B","C","D","AB","AC","AD","BC","BD","CD","ABC","ABD","ACD","BCD","ABCD","y","sd"
"-1","-1","-1","-1","1","1","1","1","1","1","-1","-1","-1","-1","1","0.40","0.06"
"1","-1","-1","-1","-1","-1","-1","1","1","1","1","1","1","-1","-1","0.28","0.01"
"-1","1","-1","-1","-1","1","1","-1","-1","1","1","1","-1","1","-1","0.77","0.06"
"1","1","-1","-1","1","-1","-1","-1","-1","1","-1","-1","1","1","1","0.71","0.05"
"-1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","1","-1","0.42","0.04"
"1","-1","1","-1","-1","1","-1","-1","1","-1","-1","1","-1","1","1","0.29","0.02"
"-1","1","1","-1","-1","-1","1","1","-1","-1","-1","1","1","-1","1","0.75","0.04"
"1","1","1","-1","1","1","-1","1","-1","-1","1","-1","-1","-1","-1","0.69","0.04"
"-1","-1","-1","1","1","1","-1","1","-1","-1","-1","1","1","1","-1","0.73","0.05"
"1","-1","-1","1","-1","-1","1","1","-1","-1","1","-1","-1","1","1","0.29","0.00"
"-1","1","-1","1","-1","1","-1","-1","1","-1","1","-1","1","-1","1","0.96","0.01"
"1","1","-1","1","1","-1","1","-1","1","-1","-1","1","-1","-1","-1","0.95","0.01"
"-1","-1","1","1","1","-1","-1","-1","-1","1","1","1","-1","-1","1","0.65","0.10"
"1","-1","1","1","-1","1","1","-1","-1","1","-1","-1","1","-1","-1","0.29","0.00"
"-1","1","1","1","-1","-1","-1","1","1","1","-1","-1","-1","1","-1","0.97","0.01"
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.96","0.02"
"-0.07","0.21","-0.00","0.09","0.06","0.00","-0.03","0.00","0.02","-0.00","-0.00","0.04","0.01","0.01","-0.01","",""
" 8.28% "," 69.01% "," 0.02% "," 13.05% "," 4.97% "," 0.02% "," 1.18% "," 0.01% "," 0.68% "," 0.03% "," 0.03% "," 2.49% "," 0.04% "," 0.13% "," 0.05% ","",""
